taxa,PC1,PC2,PC3
N0234,-18.3755312502011,15.6435571934632,34.9467436046028
N0235,-29.0260481524683,19.334714253634,1.87329674696039
N0236,-17.2424415243701,24.4820394430167,-8.06301374782227
N0237,35.5030846775952,32.6771421272499,-3.7663166206194
N0238,43.2542431918848,38.6016401847655,-15.0278631821015
N0239,-132.28508000191,7.08915164055896,14.1126345894296
N0240,46.8858871117076,6.0778054136325,2.66749410731845
N0241,94.8665875632256,40.2228297932165,-20.8125244455152
N0242,98.4623941697153,41.9215634859303,-19.1318752725482
N0243,-56.9901746286715,6.58514838130598,-2.82800980172392
N0244,45.7616526310737,28.2347863998382,-19.846202356765
N0245,-140.910890927665,6.69507496193478,34.4468152792242
N0246,55.0221262874406,51.440822916482,-18.4083183051326
N0247,-110.313689548804,6.25937292897131,-9.79569265385878
N0248,-47.7036468943653,21.8043676149523,-4.07878985483432
N0249,79.5382554863953,11.6278846687404,-11.0344164845949
N0250,40.521488817066,14.3501722784449,-17.228554861979
N0251,85.0377372912113,49.7251544331637,-31.9251840644081
N0252,57.9768778094181,22.2017040099001,-11.5451966394446
N0253,-21.5065755322217,4.52276395186236,-0.900192992327961
N0254,39.0783431925242,27.8949363093001,-5.13652139300686
N0255,85.486281587536,49.7658203631093,-32.0456575352524
N0256,-68.6337828372477,-0.0365190639050605,2.55943523306794
N0257,84.5372213243461,49.5594719222662,-31.9570327728266
N0258,-32.9992995521275,14.8946874248232,12.1372936281379
N0259,-53.5587209144967,17.6105592295659,6.07248013960205
N0260,59.72618975049,48.2165629494827,-21.0767948069086
N0261,12.7149499664479,25.013873554837,4.02586527035012
N0262,-47.3480517322165,15.4299930943194,-6.53349074732621
N0263,-107.875018715517,6.50698274625194,20.7798460653419
N0264,17.9871972646864,5.18414618376792,12.989622199687
N0265,-49.5230811071746,14.5776795496475,30.4170816733986
N0266,-57.8054951322691,-1.84906632966718,13.3474079707081
N0327,56.2920908090563,-4.71488896543143,-1.93789829630787
N0267,-143.882994551813,-24.2375660963931,-56.3134331345397
N0268,-157.658199034055,-19.5968102826291,-36.8029436987361
N0269,-149.457521846355,-16.4957881979407,-37.1219581542356
N0270,-51.5685961252671,2.82345400894195,-55.8202890290459
N0271,-149.967034763437,-18.2742303633044,-48.7733547178054
N0272,-156.429230560198,-20.0451567408567,-27.7428535851214
N0273,-75.3881157522109,-16.3430670661554,-27.090461154956
N0274,-19.9579291952794,16.3470044852861,-30.0849462713773
N0275,-154.814019512103,-6.83130328589895,-3.88875332214855
N0276,-144.307013771008,-24.1335503194987,-51.2492619051476
N0277,-149.371890979288,-22.6654690496483,-51.5603249489006
N0278,-152.959459113306,-18.7664776759671,-38.362809265936
N0279,-143.529767161006,-23.0561042744356,-53.2953588597909
N0280,-151.735279945377,-16.3369365104864,-42.0671796037163
N0281,-0.980027912458982,16.7642290057518,-38.5574702346379
N0282,-117.001558194824,4.88098896509821,-2.02829033598983
N0283,-156.211037938743,-13.451398037084,-27.402424795949
N0284,-146.207030847317,-23.38603107749,-50.3349859380107
N0285,-143.979144870174,-31.666322744105,-64.2343512891493
N0286,-20.7917284339171,-10.0046273747769,-46.7062472784095
N0287,-150.235762892301,-19.8815582693128,-52.2059395622505
N0288,-146.98598598856,-24.6756096697859,-43.749171681898
N0289,1.42425162387043,9.38512386271999,-36.3162450277883
N0290,-154.413351223601,-16.5768934790779,-34.8558086349805
N0291,-149.295633540683,-16.6499722787387,-39.7289962708652
N0292,-118.882527474951,-18.4533982653762,-54.9185646785602
N0293,-156.198392969703,-18.1319613846523,-34.355649516476
N0294,-153.737396083804,-25.8627556168289,-46.1751032187288
N0296,-152.167025787874,-19.778841170809,-45.4037842026211
N0297,-145.288073456974,-23.088731417608,-52.2246256943703
