taxa,PC1,PC2,PC3,PC4,PC5
CML61,10.1894042171392,7.55724587957851,-1.52291838988858,-2.11345474270755,0.673843207134709
CML69,9.92674063567202,9.37883214340716,-0.946775957703337,-0.210672301790153,-1.29899611617915
CML77,5.06032708481387,6.30401614216312,-2.84388333804566,-0.355990623441588,-0.248863286444238
CML91,5.91873496632987,5.30754969227064,-0.827303471143403,-1.91876107805233,-0.671221014074173
CML92,5.13515796342687,5.59853753063076,-4.20670828180975,-2.17988078025177,0.689119621929951
CMV3,-0.39495924188806,-5.19987305348965,-2.409116707366,-1.26249281950031,-0.605076815649664
CO106,0.487548934915243,-5.09120383447857,-0.719879218379641,-1.42246312520135,-0.0310923053254864
CO125,0.878415648754178,-5.90249060917389,0.491210548864126,-1.97871933766295,-3.53181149054575
CO255,2.38190185995781,-4.91477616321396,2.87021451834736,-1.65625012558631,-7.56297507083914
D940Y,7.0104799227995,-2.8112996437096,1.00671901367412,2.76734300851272,-1.86984799804946
DE2,-0.828692672582718,-6.24717378548393,0.284626487119217,-0.255248396724979,6.57844799719158
DE3,-4.32377130225617,-3.7247473326219,0.909327058208515,0.598599964407728,3.9029446656342
DE1,-0.456888114204184,-5.79934835109373,0.581184454739269,-1.11372467560459,6.9529216365746
DE811,-10.8703477929575,-1.61064086245178,-13.6462272813362,2.92946789461115,-1.95710087258242
E2558W,2.81787941773366,-1.43791352764881,0.0171665797234076,-2.67009724779974,-0.745939968703459
EP1,5.3872169949499,-3.07623440540313,0.77282197753211,0.0633491468321529,-7.93682146377872
F2834T,3.57737383171399,5.81635025001365,-0.270831652772218,1.39486206006905,-2.8992283808733
F44,3.12853972355368,1.07564720099605,0.412154343477158,-1.24980280415413,-3.88929093673851
F6,0.7149025580227,-4.25995724183821,2.54980306455396,-1.8470767928435,-0.679503320695774
F7,4.18335631732184,-7.22618915968102,0.762118917873556,1.05138864242046,-9.23779281493355
GA209,2.27623017266404,-4.21598314881196,2.31505146987989,-1.63162874901578,0.546300501403819
GT112,5.30765922419391,-2.31908882062632,3.1535091711669,1.14627363828824,2.80963514265412
H105W,-14.4973075366129,-0.381499948101172,-21.2757812450367,3.62307713653639,-2.94528229866481
H49,1.31834390800678,-5.05740764263032,1.52466299866295,-10.8780462780808,13.2000345835543
H84,-9.88059328761995,-0.44946066401649,2.60075141509191,-3.63084911038686,2.81075117511939
H91,-22.6331201120983,0.698766174658167,-27.5561868677029,2.41009625297504,-2.1756220100388
H95,-0.00605239116081933,-9.88466355771321,4.905636475244,-4.20941430753691,7.32913289172579
H99,2.05923411135334,-5.72036050862199,3.05546327643817,-3.68105907244838,3.3927409310346
HI27,3.42372679219995,6.3206985110904,-9.73488256291864,1.15957196427954,-0.11606760094874
HP301,2.68514878948553,-7.1983555203442,7.68024307174729,-3.78740503283549,-28.557324889087
HY,-7.80583840680202,-1.09507851680533,1.78625827431578,-1.74704824401734,1.3336242637607
I137TN,5.8605020544894,0.941771250495524,0.642808997564413,-0.269950588940199,-0.895733834569707
I205,-4.12905234672681,-2.98454431592464,-0.483041331225947,-1.82148715209838,4.01706201061007
I29,1.21525591754167,-2.88363758894921,1.8729793868819,-2.3673120383286,-9.64778145672282
IA2132,-1.22497154500446,-11.4378120932355,3.84794714720327,2.6166846994487,-8.93121381122066
IA5125,0.33268467050872,-9.53670326287519,2.0127525167651,-1.14619477337845,-6.29167360142375
IDS28,0.958246867217479,-5.22616037706526,3.41250624647759,-1.31197150213139,-12.8118461662484
IDS69,1.32841434915551,-7.01213522584614,8.43952140855559,-2.0319799147539,-28.0201813010296
IDS91,2.5898447556059,-6.72893760804623,8.33107550792459,-2.53650288236411,-28.5377045002513
IL101,-1.69916954302466,-13.5258248088649,2.06127968611617,0.784062174237971,-14.1253951514564
IL14H,-1.67585403868566,-14.0622309253785,3.46346990003897,1.76585399326733,-15.6317075563109
IL677A,-1.63097842005874,-11.9905151736334,3.13581463737648,0.594454634606481,-11.6599699932361
K148,1.83840747157574,-3.68435072390262,0.627785958721904,-2.69189408206997,-1.29960285175641
K4,1.119286026153,-2.82371278234301,1.57354150113385,-3.91716040837326,0.415501285173819
K55,-1.88580366701242,-2.51100556425741,-0.432397265271262,0.419365797621957,-2.59399452754874
K64,1.04510841434368,-4.57659249562111,1.42164202158076,-3.6049628333301,-0.86382866228994
KI11,8.16028163001158,6.92383209182586,-1.11982565983923,-0.647914174704793,0.679505584598009
KI14,11.243809137052,6.91923702887532,-0.0303084508769028,-0.89844529363561,1.88506353393873
KI2021,10.5882994570205,6.16237417026866,0.152136675725525,0.0565716309442011,1.97867725192574
KI21,6.80245409438804,2.04134880788937,-0.453405246301788,5.31234452582684,1.17730797439626
KI3,11.2875978528553,9.5052200485785,0.316375970312441,-3.16450754578849,1.06679634411715
KI43,8.91969987225719,4.83282309033611,0.381192784915166,-1.22500064478514,0.270874538467687
KI44,9.46943816404374,6.54270041798933,0.64465734385496,0.0723833180971244,2.28559597036122
KY21,1.17490747650311,-2.24720582035865,-1.57230400406838,-0.222866813426156,-2.5589382649132
KY226,2.66384435821615,-0.0222995786121534,1.73112454690935,-2.45102640497923,1.9967765496839
KY228,1.29117624929968,-4.22162841962701,-1.22663725848265,0.0641312086398216,-2.51962261943302
L317,2.25785140166594,-5.69011861467599,-0.450609268262687,0.257150869228066,-0.211432757085281
L578,4.44590426803906,0.486530371652426,1.67966276238927,1.26350503419167,-0.384308886059755
M14,-4.38654159618023,-6.9916369104435,1.29409097059989,-2.40651488537047,2.75337376943454
M162W,5.02157956302721,-1.92522814321016,0.73880783162672,-5.57388352690792,-2.68887445614659
M37W,6.46125885770163,1.11982719519278,-1.8146588809054,0.0506939455878305,-1.44450955774949
MEF156-55-2,-0.37802470099623,-11.0585265149022,3.51084604141722,-1.05237283954226,-9.02657967412355
MO17,2.22922910193271,-8.98738540298339,1.85985894828433,14.9998201939838,3.93241163617699
MO18W,7.02774299063079,3.67107266322863,-2.01295164790647,-4.65230620263992,1.91633910509361
MO1W,1.79711950489041,-4.82197475850831,-0.284620947210732,-10.6647773523552,11.0564204396422
MO24W,4.89292744101349,-0.621918971825415,2.81488022344818,0.719110363544312,-0.865914536405469
MO44,-3.17289894227844,-5.86451342361163,-0.761258436074066,-5.83203818043754,4.24265713070932
MO45,0.144916819845215,-2.66884216023106,-0.300473376839824,-0.35195972097982,-1.74318998812002
MO46,-1.48073726055291,-1.65193052885663,-4.22844206120649,1.52869640166575,3.80873821159933
MO47,1.01684440551104,-2.20860987921942,0.923157078054824,-1.10268331731646,2.51984775034912
MOG,2.64881766405061,-2.41189299094613,-1.46496969031237,0.218013198243951,-3.57466906864205
MP339,0.790443018901203,-0.294902641454906,-1.35897266398842,0.127558479655473,0.202107782671523
MS1334,2.82826872590956,-4.59753958583268,-0.467788017451409,-2.20125183166995,-2.43002531264735
MS153,-3.27181928878847,-8.60613478205271,0.940653335152557,-1.93900984503295,-0.589153276364236
MS71,-2.69230442372552,-8.22398588807548,0.0436076932777515,-4.17509331239762,2.89755854273574
